Timestamp,What is your occupation?,Where do you spend most of your free time?,How much time do you spend on streaming services?,How much time do you spend on gaming?,How much time do you spend on social media?,What are you most worried about during this time?,ONE word that describes your mood right now.,Where are you located ?
29/03/2020 02:32:01,Student,"Streaming services (Netflix, Amazon Prime, Youtube)",> 3 hours,< 1 hour,1 - 3 hours,Family,Active mood,
29/03/2020 02:35:25,Professional,Working (I'm a workaholic !),1 - 3 hours,< 1 hour,1 - 3 hours,"Family, Economy",I'm having good time with Childrens which I have not done in last 10-12 years. We will overcome this pandemic and request everyone to stay home and be safe,
29/03/2020 02:37:48,Student,"Streaming services (Netflix, Amazon Prime, Youtube)",1 - 3 hours,< 1 hour,< 1 hour,"Family, Being stuck at home",Scared about corona virus ,
29/03/2020 02:40:29,Student,"Other (Gardening, Cooking, Sleeping)",,,,Job,Good,
29/03/2020 02:42:49,Student,"Online Courses (Coursera, LinkedIn Learning, Udemy)",< 1 hour,< 1 hour,1 - 3 hours,"Family, Education ",Very concern about the virus . Economy has been affected worldwide . Overall everything is being delayed these things are irritating but we have to handle this with care .,
29/03/2020 02:46:37,Student,Working (I'm a workaholic !),1 - 3 hours,< 1 hour,< 1 hour,Being stuck at home,Imprisoned,
29/03/2020 02:47:26,Professional,Working (I'm a workaholic !),< 1 hour,< 1 hour,< 1 hour,"Job, Family, Being stuck at home",Normal,
29/03/2020 02:52:20,Professional,"Other (Gardening, Cooking, Sleeping)",1 - 3 hours,< 1 hour,< 1 hour,Job,Tension,
29/03/2020 02:56:33,Student,"Other (Gardening, Cooking, Sleeping)",< 1 hour,1 - 3 hours,< 1 hour,Economy,Good,
29/03/2020 03:36:49,Student,"Online Courses (Coursera, LinkedIn Learning, Udemy)",1 - 3 hours,< 1 hour,< 1 hour,Economy,Energetic ,
29/03/2020 03:36:58,Home-maker,"Other (Gardening, Cooking, Sleeping)",,,1 - 3 hours,Family,Calm,
29/03/2020 03:43:17,Student,"Streaming services (Netflix, Amazon Prime, Youtube)",1 - 3 hours,< 1 hour,1 - 3 hours,Economy,Boring,
29/03/2020 03:45:07,Home-maker,"Other (Gardening, Cooking, Sleeping)",< 1 hour,< 1 hour,< 1 hour,Family,Prayerful.,
29/03/2020 03:46:39,Professional,"Social Media (Twitter, Instagram, Facebook)",1 - 3 hours,< 1 hour,< 1 hour,"Family, Economy, Being stuck at home",Feeling low due to current situation,
